Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	24-01-19																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Saudi Arabia	SAU	"Binding coverage, manufactured products (%)"	TM.TAX.MANF.BC.ZS																																														99.95	99.95	99.97	99.97	99.97		99.97	100	100	100	100			
Saudi Arabia	SAU	Import volume index (2000 = 100)	TM.QTY.MRCH.XD.WD																																									100	104.1490061	108.0205297	133.6156196	140.7879799	169.657909	149.7760103	170.3503671	196.0949104	167.7922493	179.892017	200.2082859	228.2883032	249.5190554	276.5713674	311.4579201	301.0570353	309.0454451	
Saudi Arabia	SAU	Merchandise trade (% of GDP)	TG.VAL.TOTL.GD.ZS									59.63905375	62.15192149	56.9798971	64.83849808	61.13507567	73.32336391	84.58955749	72.44832113	73.40087705	78.34299908	76.1922731	78.57085139	84.62837554	84.18443108	78.12696917	65.84882184	59.55367565	49.18581253	45.18874325	50.53802998	52.3034818	51.95477574	58.22140759	58.14105254	61.25851683	53.09025656	48.7901279	54.50631017	55.76179404	53.90581004	46.8981546	48.70979519	56.89314407	53.92004145	55.24437205	62.53233534	67.00599207	73.12001037	74.58346363	77.78137761	82.45454935	67.08639808	67.77756873	73.93573946	73.91470033	72.86262091	68.257539	57.80880312	50.19867039	50.81978011	
Saudi Arabia	SAU	"International tourism, expenditures (% of total imports)"	ST.INT.XPND.MP.ZS																																											14.85767277	7.610760781	6.634097463	10.36764464	11.45100515	14.44446819	9.058514099	13.1499588	12.67255668	9.193983143	8.357567776	8.107989484	9.705146139	8.235100194	8.91978212	9.556656905	
Saudi Arabia	SAU	"International tourism, expenditures (current US$)"	ST.INT.XPND.CD																																											7370000000	4165000000	4428000000	9087000000	12979000000	21031000000	16005000000	21312000000	22076000000	18202000000	17986000000	18648000000	25137000000	20366000000	17671000000	18745000000	
Saudi Arabia	SAU	"International tourism, expenditures for travel items (current US$)"	ST.INT.TVLX.CD																																													4428000000	9087000000	12979000000	20170000000	15129000000	20419000000	21135000000	17271000000	17023000000	17660000000	24118000000	19346000000	16658000000	17312000000	
Saudi Arabia	SAU	"International tourism, receipts for travel items (current US$)"	ST.INT.TVLR.CD																																													6486000000	4626000000	4769000000	5971000000	5910000000	5995000000	6712000000	8459000000	7432000000	7651000000	8238000000	10130000000	11096000000	12056000000	
Saudi Arabia	SAU	"International tourism, expenditures for passenger transport items (current US$)"	ST.INT.TRNX.CD																																																861000000	876000000	893000000	941000000	931000000	963000000	988000000	1019000000	1020000000	1013000000	1433000000	
Saudi Arabia	SAU	"International tourism, receipts for passenger transport items (current US$)"	ST.INT.TRNR.CD																																																936000000	865000000	749000000	824000000	858000000	968000000	1039000000	1025000000	1053000000	2342000000	2792000000	
Saudi Arabia	SAU	"International tourism, receipts (% of total exports)"	ST.INT.RCPT.XP.ZS																																												3.454028744	4.919251267	2.409716376	2.117614299	2.767583131	2.098474041	3.337679525	2.878190516	2.47644881	2.103052292	2.241159506	2.609493041	5.129571924	6.690229488	6.210136264	
Saudi Arabia	SAU	"International tourism, receipts (current US$)"	ST.INT.RCPT.CD																																												3418000000	6486000000	4626000000	4769000000	6907000000	6775000000	6744000000	7536000000	9317000000	8400000000	8690000000	9263000000	11183000000	13438000000	14848000000	
Saudi Arabia	SAU	"International tourism, number of departures"	ST.INT.DPRT																																											7896000	4104000	3811000	4403000	2000000	4126000	4087000	6032000	17827000	15281320	18671000	19153960	19824490	20819000	21207000	21071000	
Saudi Arabia	SAU	"International tourism, number of arrivals"	ST.INT.ARVL																																				3325000					6585000	6727000	7511000	7332000	8599000	8037000	8620000	11531000	14757000	10897000	10850000	14179000	16332000	15772000	18260000	17994000	18044000	16109000	
Saudi Arabia	SAU	Unmet need for contraception (% of married women ages 15-49)	SP.UWT.TFRT																																																											
