Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	24-01-19																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
World	WLD	"Presence of peace keepers (number of troops, police, and military observers in mandate)"	VC.PKP.TOTL.UN																																																											
World	WLD	"Intentional homicides (per 100,000 people)"	VC.IHR.PSRC.P5																																																					6.2		5.3	5.3			
World	WLD	"Intentional homicides, male (per 100,000 male)"	VC.IHR.PSRC.MA.P5																																																											
World	WLD	"Intentional homicides, female (per 100,000 female)"	VC.IHR.PSRC.FE.P5																																																											
World	WLD	"Internally displaced persons, total displaced by conflict and violence (number of people)"	VC.IDP.TOCV																																																											
World	WLD	"Internally displaced persons, new displacement associated with disasters (number of cases)"	VC.IDP.NWDS																																																	36525123	16734400	42350200	15015596	32366600	22125871	19120870	19190927	24213693	18775796	
World	WLD	"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"	VC.IDP.NWCV																																																											
World	WLD	Battle-related deaths (number of people)	VC.BTL.DETH																																																											
World	WLD	Travel services (% of commercial service exports)	TX.VAL.TRVL.ZS.WT																							28.27825233	29.14832194	30.52058734	30.83072031	33.17887945	34.3743938	34.47509591	34.43562113	33.69543932	34.38865375	34.93031373	34.87227862	34.76543373	35.44307907	34.31732833	29.73855543	30.33707751	29.93512187	29.44292868	28.91199034	27.91992087	28.821354	28.49203928	28.44241006	27.58772797	26.71142889	26.70963935	27.41206802	27.74994217	26.28815866	26.34170749	26.62929341	26.16029709	26.43065532	26.7137032	26.12896873	
World	WLD	Transport services (% of commercial service exports)	TX.VAL.TRAN.ZS.WT																							35.91724648	36.07122595	34.77631973	34.3336073	31.27652113	30.58194996	32.88734199	31.07394356	31.34780007	28.10430407	26.64644799	25.72890638	26.55021302	26.36780211	25.22676938	23.59296496	23.47015598	23.23121359	23.35199534	23.27244267	23.12133514	23.85654673	24.13134578	25.02624308	24.82975445	24.92828554	25.59006026	22.29648609	24.56758766	22.99086692	22.71532387	21.56470771	20.84241656	20.35178946	19.52210863	19.58081507	
World	WLD	High-technology exports (% of manufactured exports)	TX.VAL.TECH.MF.ZS																														18.48599872	18.16511018	18.66193502	18.31920661	19.12999643	19.59733598	20.02251017	20.15327052	21.33615639	22.04222881	23.05897336	24.41955922	22.93963306	22.27294065	21.96077627	20.55424472	19.69268926	20.31388894	17.64786558	16.81472057	18.24905683	17.49967592	16.40142124	16.89538512	17.05294737	17.10341361	18.51774573	17.93743105	16.56767558	
World	WLD	High-technology exports (current US$)	TX.VAL.TECH.CD																																									1.15832E+12	1.04871E+12	1.06716E+12	1.19326E+12	1.39497E+12	1.47378E+12	1.7463E+12	1.76812E+12	1.84217E+12	1.56536E+12	1.78027E+12	1.94229E+12	2.0024E+12	2.10996E+12	2.1497E+12	2.0528E+12	1.98863E+12		
World	WLD	Commercial service exports (current US$)	TX.VAL.SERV.CD.WT																	1.89045E+11	2.1943E+11	2.65785E+11	3.22814E+11	3.8432E+11	3.93474E+11	3.88028E+11	3.78458E+11	3.91159E+11	4.08756E+11	4.78982E+11	5.63463E+11	6.28531E+11	6.84364E+11	8.31513E+11	8.72437E+11	9.85111E+11	9.92686E+11	1.08469E+12	1.24444E+12	1.33782E+12	1.4395E+12	1.46419E+12	1.54733E+12	1.65362E+12	1.65157E+12	1.767E+12	1.94869E+12	2.37639E+12	2.63609E+12	2.97132E+12	3.55753E+12	4.00701E+12	3.57068E+12	3.85272E+12	4.40113E+12	4.52646E+12	4.82245E+12	5.13766E+12	4.92249E+12	4.97722E+12	5.34658E+12	
World	WLD	"Computer, communications and other services (% of commercial service exports)"	TX.VAL.OTHR.ZS.WT																							31.83950841	30.62573512	30.64933448	30.90085833	30.64489909	30.213708	27.48134484	29.44811691	30.61713194	32.18523378	32.72939727	33.68352901	33.07165248	31.78838412	34.7717333	41.12311491	40.51865693	40.76842307	41.14718818	41.85250394	42.42931009	41.17701124	40.75290815	39.63889658	40.01863894	40.27553672	39.92417987	41.94622435	39.59564536	42.90789698	43.2037285	43.23616461	44.35587694	44.45171725	45.25141067	45.74673072	
World	WLD	Urban population (% of total)	SP.URB.TOTL.IN.ZS	33.61640892	34.13010447	34.57241195	34.9596343	35.35246491	35.57309774	35.76962701	35.9778119	36.17544752	36.37997731	36.56916456	36.75306566	36.96378993	37.19675687	37.47297407	37.70560177	37.95722616	38.21691969	38.55270018	38.95681675	39.36747376	39.78932048	40.16950756	40.51536476	40.87212419	41.23177345	41.59619516	41.96111886	42.32545575	42.68047011	43.04532093	43.41018998	43.75322908	44.1163402	44.47656681	44.85269624	45.21391779	45.57860867	45.94787757	46.32066566	46.70183125	47.14940036	47.64650365	48.14699623	48.6520115	49.16086777	49.6620173	50.15474026	50.6608612	51.16192342	51.65974339	52.11642023	52.56530454	53.01339702	53.46329984	53.91798758	54.37300262	54.82651837	
World	WLD	Urban population	SP.URB.TOTL	1018983655	1048612690	1080564625	1115477946	1151219432	1182258553	1213904071	1246109199	1278508024	1312947009	1347401441	1382701948	1419034687	1456226918	1495743576	1533247499	1571140992	1609646371	1652248691	1699049228	1747053374	1796982309	1846829640	1895972221	1946078507	1997531393	2050849776	2105703978	2161559922	2217636086	2275466573	2332672079	2387958912	2445313525	2502590144	2561866097	2619939010	2678799129	2738111988	2797780841	2858130756	2923079567	2991628819	3061267131	3132261863	3204583153	3277558354	3351069648	3426964053	3503454963	3580569790	3655009162	3730938916	3808101888	3886498272	3966059373	4046606978	4127612962	
World	WLD	Urban population growth (annual %)	SP.URB.GROW		2.907704638	3.047067359	3.231025724	3.204140981	2.69619502	2.67670028	2.653020842	2.599998863	2.69368548	2.624205833	2.619895298	2.627662386	2.620952915	2.713633261	2.507376505	2.47145311	2.450790807	2.646688165	2.83253588	2.825353451	2.857894083	2.773946674	2.660915763	2.642775324	2.643926533	2.66921377	2.674706	2.652601913	2.594245176	2.607753696	2.514012145	2.370107376	2.40182579	2.342301648	2.36858413	2.266820778	2.246621726	2.214158514	2.179196953	2.157063703	2.272422662	2.345103868	2.327772468	2.319128941	2.30891583	2.277213526	2.242867588	2.264781487	2.232031291	2.201107987	2.078981178	2.077416243	2.068191781	2.058673489	2.047115306	2.030922824	2.001824848	
World	WLD	Rural population (% of total population)	SP.RUR.TOTL.ZS	66.38359108	65.86989553	65.42758805	65.0403657	64.64753509	64.42690226	64.23037299	64.0221881	63.82455248	63.62002269	63.43083544	63.24693434	63.03621007	62.80324313	62.52702593	62.29439823	62.04277384	61.78308031	61.44729982	61.04318325	60.63252624	60.21067952	59.83049244	59.48463524	59.12787581	58.76822655	58.40380484	58.03888114	57.67454425	57.31952989	56.95467907	56.58981002	56.24677092	55.8836598	55.52343319	55.14730376	54.78608221	54.42139133	54.05212243	53.67933434	53.29816875	52.85059964	52.35349635	51.85300377	51.3479885	50.83913223	50.3379827	49.84525974	49.3391388	48.83807658	48.34025661	47.88357977	47.43469546	46.98660298	46.53670016	46.08201242	45.62699738	45.17348163	
